FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,CombinedPercent,CombinedGrade
Rep. Linda Ryan (D),"Ryan, Linda",Linda,Ryan,D,Hillsborough,4,Hillsborough-04,409164,139,139,10,120,9,0,184,20,6,11,CT,-0,11,CT
Rep. Cassandra  Levesque (D),"Levesque, Cassandra ",Cassandra ,Levesque,D,Strafford,4,Strafford-04,408930,139,139,4,112,23,0,184,20,17,11,CT,0,11,CT
Rep. Fred Davis (D),"Davis, Fred",Fred,Davis,D,Hillsborough,3,Hillsborough-03,408873,139,139,4,110,25,0,184,20,18,11,CT,0,11,CT
Rep. Erica de Vries (D),"de Vries, Erica",Erica,de Vries,D,Rockingham,29,Rockingham-29,409219,139,139,7,123,9,0,184,20,6,11,CT,-1,10,CT
Rep. Loren Foxx (D),"Foxx, Loren",Loren,Foxx,D,Hillsborough,2,Hillsborough-02,409098,139,139,9,127,3,0,184,19,2,10,CT,0,10,CT
Rep. Russell Muirhead (D),"Muirhead, Russell",Russell,Muirhead,D,Grafton,12,Grafton-12,408991,139,139,6,119,14,0,184,21,10,11,CT,-1,10,CT
Rep. Bill Bolton (D),"Bolton, Bill",Bill,Bolton,D,Grafton,8,Grafton-08,409070,139,139,6,117,16,0,184,19,12,10,CT,0,10,CT
Rep. Buzz Scherr (D),"Scherr, Buzz",Buzz,Scherr,D,Rockingham,26,Rockingham-26,409292,139,139,7,122,10,0,184,18,7,10,CT,0,10,CT
Rep. Kate Murray (D),"Murray, Kate",Kate,Murray,D,Rockingham,22,Rockingham-22,408619,139,139,8,125,6,0,184,20,4,11,CT,-1,10,CT
Rep. David Luneau (D),"Luneau, David",David,Luneau,D,Merrimack,9,Merrimack-09,377307,139,139,6,115,18,0,184,24,13,13,F,-3,10,CT
Rep. Daniel LeClerc (D),"LeClerc, Daniel",Daniel,LeClerc,D,Hillsborough,34,Hillsborough-34,409123,139,139,7,129,3,0,184,18,2,10,CT,0,10,CT
Rep. Allan Howland (D),"Howland, Allan",Allan,Howland,D,Strafford,20,Strafford-20,409111,139,139,9,123,7,0,184,18,5,10,CT,-1,9,CT
Rep. Heather Baldwin (D),"Baldwin, Heather",Heather,Baldwin,D,Grafton,4,Grafton-04,409064,139,139,5,120,14,0,184,17,10,9,CT,0,9,CT
Rep. Alissandra Murray (D),"Murray, Alissandra",Alissandra,Murray,D,Hillsborough,20,Hillsborough-20,409137,139,139,7,126,6,0,184,18,4,10,CT,-0,9,CT
Rep. Eric Turer (D),"Turer, Eric",Eric,Turer,D,Rockingham,6,Rockingham-06,409182,139,139,10,127,2,0,184,18,1,10,CT,-1,9,CT
Rep. Catherine Rombeau (D),"Rombeau, Catherine",Catherine,Rombeau,D,Hillsborough,2,Hillsborough-02,409057,139,139,6,128,5,0,184,17,4,9,CT,-0,9,CT
Rep. Paul Berch (D),"Berch, Paul",Paul,Berch,D,Cheshire,6,Cheshire-06,377068,139,139,9,128,2,0,184,17,1,9,CT,-0,9,CT
Rep. Jared Sullivan (D),"Sullivan, Jared",Jared,Sullivan,D,Grafton,2,Grafton-02,409178,139,139,9,127,3,0,184,17,2,9,CT,0,9,CT
Rep. Paige Beauchemin (D),"Beauchemin, Paige",Paige,Beauchemin,D,Hillsborough,3,Hillsborough-03,409199,139,139,5,113,21,0,184,19,15,10,CT,-1,9,CT
Rep. Carrie Sorensen (D),"Sorensen, Carrie",Carrie,Sorensen,D,Rockingham,28,Rockingham-28,409297,139,139,5,123,11,0,184,18,8,10,CT,-1,9,CT
Rep. Stephanie Grund (D),"Grund, Stephanie",Stephanie,Grund,D,Hillsborough,34,Hillsborough-34,409240,139,139,6,121,12,0,184,18,9,10,CT,-1,9,CT
Rep. Seth Miller (D),"Miller, Seth",Seth,Miller,D,Strafford,21,Strafford-21,409269,139,139,8,123,8,0,184,17,6,9,CT,-0,9,CT
Rep. Michael Cahill (D),"Cahill, Michael",Michael,Cahill,D,Rockingham,10,Rockingham-10,377079,139,139,5,115,19,0,184,18,14,10,CT,-1,9,CT
Rep. Nicholas Germana (D),"Germana, Nicholas",Nicholas,Germana,D,Cheshire,15,Cheshire-15,409100,139,139,9,130,0,0,184,17,0,9,CT,-1,9,CT
Rep. Chris Muns (D),"Muns, Chris",Chris,Muns,D,Rockingham,29,Rockingham-29,377150,139,139,7,126,6,0,184,19,4,10,CT,-2,9,CT
Rep. Mark MacKenzie (D),"MacKenzie, Mark",Mark,MacKenzie,D,Hillsborough,40,Hillsborough-40,408516,139,139,4,117,18,0,184,17,13,9,CT,-1,8,CT
Rep. Thomas Schamberg (D),"Schamberg, Thomas",Thomas,Schamberg,D,Merrimack,6,Merrimack-06,377166,139,139,4,126,9,0,184,17,6,9,CT,-1,8,CT
Rep. Martin Jack (D),"Jack, Martin",Martin,Jack,D,Hillsborough,10,Hillsborough-10,377126,139,139,12,127,0,0,184,16,0,9,CT,-0,8,CT
Rep. Santosh Salvi (D),"Salvi, Santosh",Santosh,Salvi,D,Hillsborough,9,Hillsborough-09,409290,139,139,8,130,1,0,184,16,1,8,CT,0,8,CT
